S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",14819416
1.1,Crops,7893514
1.2,Livestock,4309078
1.3,Forestry and logging,346160
1.4,Fishing and aquaculture,2270664
2,Mining and quarrying,1484300
Total,Primary,16303716
3,Manufacturing,4672266
4,"Electricity, gas, water supply & other utility services",1151729
5,Construction,4664889
Total,Secondary,10488884
6,"Trade, repair, hotels and restaurants",4233400
6.1,Trade & repair services,3716000
6.2,Hotels & restaurants,517400
7,"Transport, storage, communication & services related to broadcasting",5076984
7.1,Railways,424228
7.2,Road transport,2816000
7.3,Water transport,94200
7.4,Air transport,14900
7.5,Services incidental to transport,780200
7.6,Storage,18700
7.7,Communication & services related to broadcasting,928756
8,Financial services,1900863
9,"Real estate, ownership of dwelling & professional services",4405409
10,Public administration,2200897
11,Other services,4215389
Total,Tertiary,22032942
12,TOTAL GSVA at basic prices,48825542
13,Taxes on Products,5512100
14,Subsidies on products,1690800
15,Gross State Domestic Product,52646842
16,Population ('00),501510
17,Per Capita GSDP (Rs.),104977
