S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",686117
1.1,Crops,415520
1.2,Livestock,38387
1.3,Forestry and logging,224017
1.4,Fishing and aquaculture,8193
2,Mining and quarrying,30842
Total,Primary,716959
3,Manufacturing,26120
4,"Electricity, gas, water supply & other utility services",113527
5,Construction,147842
Total,Secondary,287489
6,"Trade, repair, hotels and restaurants",60421
6.1,Trade & repair services,56796
6.2,Hotels & restaurants,3625
7,"Transport, storage, communication & services related to broadcasting",35203
7.1,Railways,59
7.2,Road transport,15467
7.3,Water transport,0
7.4,Air transport,0
7.5,Services incidental to transport,109
7.6,Storage,0
7.7,Communication & services related to broadcasting,19568
8,Financial services,25207
9,"Real estate, ownership of dwelling & professional services",48418
10,Public administration,243867
11,Other services,218728
Total,Tertiary,631844
12,TOTAL GSVA at basic prices,1636292
13,Taxes on Products,70099
14,Subsidies on products,30272
15,Gross State Domestic Product,1676119
16,Population ('00),14870
17,Per Capita GSDP (Rs.),112718
