S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",3855548
1.1,Crops,2890544
1.2,Livestock,173478
1.3,Forestry and logging,261987
1.4,Fishing and aquaculture,529539
2,Mining and quarrying,1471149
Total,Primary,5326697
3,Manufacturing,2002936
4,"Electricity, gas, water supply & other utility services",296587
5,Construction,1733568
Total,Secondary,4033091
6,"Trade, repair, hotels and restaurants",2987155
6.1,Trade & repair services,2876251
6.2,Hotels & restaurants,110904
7,"Transport, storage, communication & services related to broadcasting",1194568
7.1,Railways,252509
7.2,Road transport,507668
7.3,Water transport,4502
7.4,Air transport,26223
7.5,Services incidental to transport,35739
7.6,Storage,10308
7.7,Communication & services related to broadcasting,357619
8,Financial services,543651
9,"Real estate, ownership of dwelling & professional services",1412466
10,Public administration,1373611
11,Other services,1795658
Total,Tertiary,9307109
12,TOTAL GSVA at basic prices,18666897
13,Taxes on Products,1725309
14,Subsidies on products,582406
15,Gross State Domestic Product,19809800
16,Population ('00),326780
17,Per Capita GSDP (Rs.),60621
