S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",7951890
1.1,Crops,4688237
1.2,Livestock,2060296
1.3,Forestry and logging,550132
1.4,Fishing and aquaculture,653224
2,Mining and quarrying,68107
Total,Primary,8019997
3,Manufacturing,2189965
4,"Electricity, gas, water supply & other utility services",345168
5,Construction,3449763
Total,Secondary,5984896
6,"Trade, repair, hotels and restaurants",7448373
6.1,Trade & repair services,7081391
6.2,Hotels & restaurants,366982
7,"Transport, storage, communication & services related to broadcasting",3147173
7.1,Railways,462413
7.2,Road transport,1572288
7.3,Water transport,2228
7.4,Air transport,13599
7.5,Services incidental to transport,166600
7.6,Storage,10618
7.7,Communication & services related to broadcasting,919427
8,Financial services,1178022
9,"Real estate, ownership of dwelling & professional services",3740641
10,Public administration,2078171
11,Other services,4587589
Total,Tertiary,22179969
12,TOTAL GSVA at basic prices,36184863
13,Taxes on Products,3213546
14,Subsidies on products,2006421
15,Gross State Domestic Product,37391988
16,Population ('00),1101240
17,Per Capita GSDP (Rs.),33954
