S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",16233
1.1,Crops,1659
1.2,Livestock,13992
1.3,Forestry and logging,388
1.4,Fishing and aquaculture,194
2,Mining and quarrying,179
Total,Primary,16412
3,Manufacturing,149631
4,"Electricity, gas, water supply & other utility services",29741
5,Construction,133321
Total,Secondary,312693
6,"Trade, repair, hotels and restaurants",965781
6.1,Trade & repair services,890921
6.2,Hotels & restaurants,74860
7,"Transport, storage, communication & services related to broadcasting",148302
7.1,Railways,1070
7.2,Road transport,54468
7.3,Water transport,0
7.4,Air transport,12391
7.5,Services incidental to transport,33211
7.6,Storage,763
7.7,Communication & services related to broadcasting,46399
8,Financial services,373045
9,"Real estate, ownership of dwelling & professional services",598448
10,Public administration,183889
11,Other services,156543
Total,Tertiary,2426008
12,TOTAL GSVA at basic prices,2755113
13,Taxes on Products,52622
14,Subsidies on products,23309
15,Gross State Domestic Product,2784426
16,Population ('00),11120
17,Per Capita GSDP (Rs.),250398
