S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",3948847
1.1,Crops,2613371
1.2,Livestock,352208
1.3,Forestry and logging,597785
1.4,Fishing and aquaculture,385483
2,Mining and quarrying,2451970
Total,Primary,6400817
3,Manufacturing,4370593
4,"Electricity, gas, water supply & other utility services",1198438
5,Construction,2669855
Total,Secondary,8238886
6,"Trade, repair, hotels and restaurants",1535571
6.1,Trade & repair services,1414164
6.2,Hotels & restaurants,121407
7,"Transport, storage, communication & services related to broadcasting",871770
7.1,Railways,159176
7.2,Road transport,386628
7.3,Water transport,0
7.4,Air transport,9507
7.5,Services incidental to transport,5232
7.6,Storage,16675
7.7,Communication & services related to broadcasting,294552
8,Financial services,739057
9,"Real estate, ownership of dwelling & professional services",2462166
10,Public administration,867982
11,Other services,1112232
Total,Tertiary,7588778
12,TOTAL GSVA at basic prices,22228481
13,Taxes on Products,2601791
14,Subsidies on products,1332092
15,Gross State Domestic Product,23498180
16,Population ('00),270530
17,Per Capita GSDP (Rs.),86860
