S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",250568
1.1,Crops,64959
1.2,Livestock,183770
1.3,Forestry and logging,861
1.4,Fishing and aquaculture,978
2,Mining and quarrying,963777
Total,Primary,1214345
3,Manufacturing,2749307
4,"Electricity, gas, water supply & other utility services",971255
5,Construction,2048788
Total,Secondary,5769350
6,"Trade, repair, hotels and restaurants",5896633
6.1,Trade & repair services,5359605
6.2,Hotels & restaurants,537028
7,"Transport, storage, communication & services related to broadcasting",5597141
7.1,Railways,293836
7.2,Road transport,718343
7.3,Water transport,574
7.4,Air transport,420460
7.5,Services incidental to transport,3259417
7.6,Storage,29922
7.7,Communication & services related to broadcasting,874588
8,Financial services,6974870
9,"Real estate, ownership of dwelling & professional services",11733335
10,Public administration,2008191
11,Other services,3829385
Total,Tertiary,36039554
12,TOTAL GSVA at basic prices,43023249
13,Taxes on Products,6611719
14,Subsidies on products,392546
15,Gross State Domestic Product,49242422
16,Population ('00),179690
17,Per Capita GSDP (Rs.),274041
