S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",308507
1.1,Crops,140421
1.2,Livestock,30141
1.3,Forestry and logging,15744
1.4,Fishing and aquaculture,122201
2,Mining and quarrying,3622
Total,Primary,312129
3,Manufacturing,1177608
4,"Electricity, gas, water supply & other utility services",204110
5,Construction,165819
Total,Secondary,1547536
6,"Trade, repair, hotels and restaurants",380927
6.1,Trade & repair services,343492
6.2,Hotels & restaurants,37434
7,"Transport, storage, communication & services related to broadcasting",189656
7.1,Railways,15649
7.2,Road transport,46171
7.3,Water transport,17820
7.4,Air transport,46359
7.5,Services incidental to transport,19272
7.6,Storage,357
7.7,Communication & services related to broadcasting,44028
8,Financial services,233618
9,"Real estate, ownership of dwelling & professional services",407099
10,Public administration,346486
11,Other services,180431
Total,Tertiary,1738217
12,TOTAL GSVA at basic prices,3597882
13,Taxes on Products,527279
14,Subsidies on products,61854
15,Gross State Domestic Product,4063307
16,Population ('00),14950
17,Per Capita GSDP (Rs.),271793
