S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",13769969
1.1,Crops,9671086
1.2,Livestock,2698910
1.3,Forestry and logging,761616
1.4,Fishing and aquaculture,638357
2,Mining and quarrying,2117218
Total,Primary,15887187
3,Manufacturing,24087538
4,"Electricity, gas, water supply & other utility services",3409983
5,Construction,5526017
Total,Secondary,33023538
6,"Trade, repair, hotels and restaurants",10178713
6.1,Trade & repair services,10178713
6.2,Hotels & restaurants,NA
7,"Transport, storage, communication & services related to broadcasting",4555910
7.1,Railways,511593
7.2,Road transport,NA
7.3,Water transport,NA
7.4,Air transport,NA
7.5,Services incidental to transport*,2744163
7.6,Storage,57634
7.7,Communication & services related to broadcasting,1242520
8,Financial services,4606644
9,"Real estate, ownership of dwelling & professional services",5179502
10,Public administration,2576195
11,Other services,3123413
Total,Tertiary,30220377
12,TOTAL GSVA at basic prices,79131102
13,Taxes on Products,12353171.04
14,Subsidies on products,1981546
15,Gross State Domestic Product,89502727
16,Population ('00),633590
17,Per Capita GSDP (Rs.),141263
