S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",8015238
1.1,Crops,4636731
1.2,Livestock,2916173
1.3,Forestry and logging,352254
1.4,Fishing and aquaculture,110080
2,Mining and quarrying,25186
Total,Primary,8040424
3,Manufacturing,7756921
4,"Electricity, gas, water supply & other utility services",1101919
5,Construction,3702571
Total,Secondary,12561411
6,"Trade, repair, hotels and restaurants",4986319
6.1,Trade & repair services,4817784
6.2,Hotels & restaurants,168535
7,"Transport, storage, communication & services related to broadcasting",2560623
7.1,Railways,423873
7.2,Road transport,1452364
7.3,Water transport,NA
7.4,Air transport,NA
7.5,Services incidental to transport,190269
7.6,Storage,14459
7.7,Communication & services related to broadcasting,479658
8,Financial services,1671486
9,"Real estate, ownership of dwelling & professional services",6970183
10,Public administration,1036377
11,Other services,2001581
Total,Tertiary,19226568
12,TOTAL GSVA at basic prices,39828404
13,Taxes on Products,4985670
14,Subsidies on products,1067867
15,Gross State Domestic Product,43746207
16,Population ('00),266620
17,Per Capita GSDP (Rs.),164077
