S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",1514981
1.1,Crops,853758
1.2,Livestock,110304
1.3,Forestry and logging,540950
1.4,Fishing and aquaculture,9968
2,Mining and quarrying,33385
Total,Primary,1548366
3,Manufacturing,2543637
4,"Electricity, gas, water supply & other utility services",767268
5,Construction,808256
Total,Secondary,4119162
6,"Trade, repair, hotels and restaurants",615496
6.1,Trade & repair services,494162
6.2,Hotels & restaurants,121333
7,"Transport, storage, communication & services related to broadcasting",552234
7.1,Railways,2528
7.2,Road transport,349608
7.3,Water transport,0
7.4,Air transport,3979
7.5,Services incidental to transport,1724
7.6,Storage,129
7.7,Communication & services related to broadcasting,194266
8,Financial services,362521
9,"Real estate, ownership of dwelling & professional services",1125937
10,Public administration,553974
11,Other services,923164
Total,Tertiary,4133326
12,TOTAL GSVA at basic prices,9800853
13,Taxes on Products,895317
14,Subsidies on products,259291
15,Gross State Domestic Product,10436879
16,Population ('00),70840
17,Per Capita GSDP (Rs.),147330
