S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",3211065
1.1,Crops,2094466
1.2,Livestock,562503
1.3,Forestry and logging,445149
1.4,Fishing and aquaculture,108947
2,Mining and quarrying,2037289
Total,Primary,5248354
3,Manufacturing,4114148
4,"Electricity, gas, water supply & other utility services",337489
5,Construction,1789834
Total,Secondary,6241471
6,"Trade, repair, hotels and restaurants",1991359
6.1,Trade & repair services,1840196
6.2,Hotels & restaurants,151163
7,"Transport, storage, communication & services related to broadcasting",1470022
7.1,Railways,472702
7.2,Road transport,649648
7.3,Water transport,0
7.4,Air transport,6716
7.5,Services incidental to transport,17436
7.6,Storage,306
7.7,Communication & services related to broadcasting,323214
8,Financial services,551441
9,"Real estate, ownership of dwelling & professional services",1656784
10,Public administration,1088325
11,Other services,1375410
Total,Tertiary,8133341
12,TOTAL GSVA at basic prices,19623166
13,Taxes on Products,2499171
14,Subsidies on products,411619
15,Gross State Domestic Product,21710718
16,Population ('00),349660
17,Per Capita GSDP (Rs.),62091
