S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",11219422
1.1,Crops,8157179
1.2,Livestock,1868771
1.3,Forestry and logging,693082
1.4,Fishing and aquaculture,500390
2,Mining and quarrying,846882
Total,Primary,12066304
3,Manufacturing,12953843
4,"Electricity, gas, water supply & other utility services",1425762
5,Construction,6104799
Total,Secondary,20484404
6,"Trade, repair, hotels and restaurants",8991658
6.1,Trade & repair services,7523720
6.2,Hotels & restaurants,1467938
7,"Transport, storage, communication & services related to broadcasting",5097652
7.1,Railways,259482
7.2,Road transport,3194576
7.3,Water transport,24152
7.4,Air transport,171785
7.5,Services incidental to transport,55349
7.6,Storage,42787
7.7,Communication & services related to broadcasting,1349520
8,Financial services,4094169
9,"Real estate, ownership of dwelling & professional services",24766393
10,Public administration,2232584
11,Other services,5308174
Total,Tertiary,50490630
12,TOTAL GSVA at basic prices,83041338
13,Taxes on Products,11026674
14,Subsidies on products,1889206
15,Gross State Domestic Product,92178806
16,Population ('00),635100
17,Per Capita GSDP (Rs.),145141
