S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",5930617
1.1,Crops,3070386
1.2,Livestock,1656104
1.3,Forestry and logging,499808
1.4,Fishing and aquaculture,704319
2,Mining and quarrying,558824
Total,Primary,6489442
3,Manufacturing,4273567
4,"Electricity, gas, water supply & other utility services",482470
5,Construction,7314003
Total,Secondary,12070040
6,"Trade, repair, hotels and restaurants",8557345
6.1,Trade & repair services*,7763847
6.2,Hotels & restaurants,793498
7,"Transport, storage, communication & services related to broadcasting",4020934
7.1,Railways,147897
7.2,Road transport**,2761427
7.3,Water transport,26956
7.4,Air transport,125029
7.5,Services incidental to transport,71567
7.6,Storage,3290
7.7,Communication & services related to broadcasting,884767
8,Financial services,2010306
9,"Real estate, ownership of dwelling & professional services",7287633
10,Public administration,2068915
11,Other services,5728645
Total,Tertiary,29673778
12,TOTAL GSVA at basic prices,48233259
13,Taxes on Products,5189352
14,Subsidies on products,822381
15,Gross State Domestic Product,52600230
16,Population ('00),339843
17,Per Capita GSDP (Rs.),154778
