S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",16235647
1.1,Crops,13216013
1.2,Livestock,1932769
1.3,Forestry and logging,965588
1.4,Fishing and aquaculture,121277
2,Mining and quarrying,1618373
Total,Primary,17854020
3,Manufacturing,4368833
4,"Electricity, gas, water supply & other utility services",1272905
5,Construction,4403151
Total,Secondary,10044889
6,"Trade, repair, hotels and restaurants",5357515
6.1,Trade & repair services,5053625
6.2,Hotels & restaurants,303890
7,"Transport, storage, communication & services related to broadcasting",2865802
7.1,Railways,498734
7.2,Road transport,1369235
7.3,Water transport,0
7.4,Air transport,26746
7.5,Services incidental to transport,36694
7.6,Storage,29012
7.7,Communication & services related to broadcasting,905381
8,Financial services,1988794
9,"Real estate, ownership of dwelling & professional services",2660123
10,Public administration,2497321
11,Other services,2747805
Total,Tertiary,18117360
12,TOTAL GSVA at basic prices,46016269
13,Taxes on Products,4284700
14,Subsidies on products,2102800
15,Gross State Domestic Product,48198169
16,Population ('00),765180
17,Per Capita GSDP (Rs.),62989
