S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",16475655
1.1,Crops,10435121
1.2,Livestock,3972829
1.3,Forestry and logging,1592564
1.4,Fishing and aquaculture,475141
2,Mining and quarrying,5282727
Total,Primary,21758383
3,Manufacturing,33660294
4,"Electricity, gas, water supply & other utility services",4334702
5,Construction,9450211
Total,Secondary,47445207
6,"Trade, repair, hotels and restaurants",15839100
6.1,Trade & repair services,14286902
6.2,Hotels & restaurants,1552198
7,"Transport, storage, communication & services related to broadcasting",9697246
7.1,Railways,797933
7.2,Road transport,4644123
7.3,Water transport,223626
7.4,Air transport,174188
7.5,Services incidental to transport,1175023
7.6,Storage,131237
7.7,Communication & services related to broadcasting,2551115
8,Financial services,16143324
9,"Real estate, ownership of dwelling & professional services",30718051
10,Public administration,5426991
11,Other services,10806363
Total,Tertiary,88631076
12,TOTAL GSVA at basic prices,157834665
13,Taxes on Products,25394800
14,Subsidies on products,4017300
15,Gross State Domestic Product,179212165
16,Population ('00),1172450
17,Per Capita GSDP (Rs.),152853
