S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",383140
1.1,Crops,226583
1.2,Livestock,75483
1.3,Forestry and logging,45831
1.4,Fishing and aquaculture,35243
2       ,Mining and quarrying,NA
Total,Primary,383140
3 ,Manufacturing,49501
4 ,"Electricity, gas, water supply & other utility services",27490
5  ,Construction,143182
Total,Secondary,220173
6,"Trade, repair, hotels and restaurants",262950
6.1,Trade & repair services,253637
6.2,Hotels & restaurants,9313
7,"Transport, storage, communication & services related to broadcasting",109726
7.1,Railways,6
7.2,Road transport,58974
7.3,Water transport,NA
7.4,Air transport,6288
7.5,Services incidental to transport,2441
7.6,Storage,NA
7.7,Communication & services related to broadcasting,42017
8,Financial services,30315
9,"Real estate, ownership of dwelling & professional services",159335
10,Public administration,297078
11,Other services,317930
Total,Tertiary,1177334
12,TOTAL GSVA at basic prices,1780647
13,Taxes on Products,92766
14,Subsidies on products,69137
15,Gross State Domestic Product,1804276
16,Population ('00),30873
17,Per Capita GSDP (Rs.),58442
