S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",366521
1.1,Crops,223330
1.2,Livestock,72442
1.3,Forestry and logging,61166
1.4,Fishing and aquaculture,9583
2,Mining and quarrying,84529
Total,Primary,451050
3,Manufacturing,433213
4,"Electricity, gas, water supply & other utility services",54473
5,Construction,150256
Total,Secondary,637942
6,"Trade, repair, hotels and restaurants",383974
6.1,Trade & repair services,357727
6.2,Hotels & restaurants,26247
7,"Transport, storage, communication & services related to broadcasting",148189
7.1,Railways,0
7.2,Road transport,105783
7.3,Water transport,NA
7.4,Air transport,1443
7.5,Services incidental to transport,NA
7.6,Storage,416
7.7,Communication & services related to broadcasting,40547
8,Financial services,64091
9,"Real estate, ownership of dwelling & professional services",150409
10,Public administration,239782
11,Other services,214211
Total,Tertiary,1200655
12,TOTAL GSVA at basic prices,2289647
13,Taxes on Products,213272
14,Subsidies on products,62112
15,Gross State Domestic Product,2440807
16,Population ('00),32020
17,Per Capita GSDP (Rs.),76228
