S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",217010
1.1,Crops,116609
1.2,Livestock,45590
1.3,Forestry and logging,47763
1.4,Fishing and aquaculture,7048
2,Mining and quarrying,8588
Total,Primary,225598
3,Manufacturing,8479
4,"Electricity, gas, water supply & other utility services",128365
5,Construction,133228
Total,Secondary,270072
6,"Trade, repair, hotels and restaurants",114315
6.1,Trade & repair services,111324
6.2,Hotels & restaurants,2991
7,"Transport, storage, communication & services related to broadcasting",52587
7.1,Railways,32
7.2,Road transport,34684
7.3,Water transport,331
7.4,Air transport,144
7.5,Services incidental to transport,0
7.6,Storage,0
7.7,Communication & services related to broadcasting,17395
8,Financial services,23168
9,"Real estate, ownership of dwelling & professional services",55068
10,Public administration,206259
11,Other services,186222
Total,Tertiary,637619
12,TOTAL GSVA at basic prices,1133289
13,Taxes on Products,43084
14,Subsidies on products,20440
15,Gross State Domestic Product,1155933
16,Population ('00),11833
17,Per Capita GSDP (Rs.),97687
