S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",607897
1.1,Crops,375825
1.2,Livestock,123800
1.3,Forestry and logging,99802
1.4,Fishing and aquaculture,8470
2,Mining and quarrying,8280
Total,Primary,616178
3,Manufacturing,18346
4,"Electricity, gas, water supply & other utility services",37944
5,Construction,156072
Total,Secondary,212361
6,"Trade, repair, hotels and restaurants",140781
6.1,Trade & repair services,134174
6.2,Hotels & restaurants,6607
7,"Transport, storage, communication & services related to broadcasting",77521
7.1,Railways,336
7.2,Road transport,34548
7.3,Water transport,600
7.4,Air transport,4153
7.5,Services incidental to transport,0
7.6,Storage,89
7.7,Communication & services related to broadcasting,37794
8,Financial services,60393
9,"Real estate, ownership of dwelling & professional services",159651
10,Public administration,295424
11,Other services,259186
Total,Tertiary,992956
12,TOTAL GSVA at basic prices,1821495
13,Taxes on Products,57674
14,Subsidies on products,37745
15,Gross State Domestic Product,1841424
16,Population ('00),20550
17,Per Capita GSDP (Rs.),89607
