S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",6422978
1.1,Crops,4382636
1.2,Livestock,788243
1.3,Forestry and logging,791463
1.4,Fishing and aquaculture,460636
2,Mining and quarrying,2586328
Total,Primary,9009306
3,Manufacturing,5754229
4,"Electricity, gas, water supply & other utility services",833067
5,Construction,2402396
Total,Secondary,8989693
6,"Trade, repair, hotels and restaurants",3149555
6.1,Trade & repair services,2886789
6.2,Hotels & restaurants,262766
7,"Transport, storage, communication & services related to broadcasting",2034016
7.1,Railways,341494
7.2,Road transport,973144
7.3,Water transport,50349
7.4,Air transport,15354
7.5,Services incidental to transport,117469
7.6,Storage,22675
7.7,Communication & services related to broadcasting,513531
8,Financial services,1065147
9,"Real estate, ownership of dwelling & professional services",2348714
10,Public administration,1318221
11,Other services,2340603
Total,Tertiary,12256258
12,TOTAL GSVA at basic prices,30255256
13,Taxes on Products,3151184
14,Subsidies on products,1209349
15,Gross State Domestic Product,32197092
16,Population ('00),435220
17,Per Capita GSDP (Rs.),73979
