S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",113156
1.1,Crops,38878
1.2,Livestock,45358
1.3,Forestry and logging,3931
1.4,Fishing and aquaculture,24989
2,Mining and quarrying,33272
Total,Primary,146428
3,Manufacturing,618297
4,"Electricity, gas, water supply & other utility services",60624
5,Construction,316205
Total,Secondary,995126
6,"Trade, repair, hotels and restaurants",200290
6.1,Trade & repair services,171312
6.2,Hotels & restaurants,28978
7,"Transport, storage, communication & services related to broadcasting",88192
7.1,Railways,263
7.2,Road transport,49909
7.3,Water transport,2946
7.4,Air transport,0
7.5,Services incidental to transport,1071
7.6,Storage,28
7.7,Communication & services related to broadcasting,33975
8,Financial services,72252
9,"Real estate, ownership of dwelling & professional services",251106
10,Public administration,82612
11,Other services,283268
Total,Tertiary,977720
12,TOTAL GSVA at basic prices,2119274
13,Taxes on Products,331269
14,Subsidies on products,41686
15,Gross State Domestic Product,2408857
16,Population ('00),13710
17,Per Capita GSDP (Rs.),175701
