S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",9285716
1.1,Crops,5690972
1.2,Livestock,2638842
1.3,Forestry and logging,848245
1.4,Fishing and aquaculture,107657
2,Mining and quarrying,10354
Total,Primary,9296070
3,Manufacturing,4790341
4,"Electricity, gas, water supply & other utility services",911611
5,Construction,2202962
Total,Secondary,7904914
6,"Trade, repair, hotels and restaurants",4419919
6.1,Trade & repair services,4201252
6.2,Hotels & restaurants,218667
7,"Transport, storage, communication & services related to broadcasting",1951809
7.1,Railways,233389
7.2,Road transport,928575
7.3,Water transport,0
7.4,Air transport,4473
7.5,Services incidental to transport,48124
7.6,Storage,76429
7.7,Communication & services related to broadcasting,660819
8,Financial services,2057520
9,"Real estate, ownership of dwelling & professional services",3142786
10,Public administration,1842730
11,Other services,3303041
Total,Tertiary,16717805
12,TOTAL GSVA at basic prices,33918789
13,Taxes on Products,3794100
14,Subsidies on products,911800
15,Gross State Domestic Product,36801089
16,Population ('00),290673
17,Per Capita GSDP (Rs.),126606
