S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",15044394
1.1,Crops,7673441
1.2,Livestock,5356257
1.3,Forestry and logging,1956660
1.4,Fishing and aquaculture,58036
2,Mining and quarrying,4069385
Total,Primary,19113780
3,Manufacturing,6552580
4,"Electricity, gas, water supply & other utility services",1122888
5,Construction,5353326
Total,Secondary,13028794
6,"Trade, repair, hotels and restaurants",7297290
6.1,Trade & repair services,6942748
6.2,Hotels & restaurants,354543
7,"Transport, storage, communication & services related to broadcasting",3814461
7.1,Railways,464638
7.2,Road transport,2121206
7.3,Water transport,0
7.4,Air transport,13469
7.5,Services incidental to transport,47609
7.6,Storage,16584
7.7,Communication & services related to broadcasting,1150955
8,Financial services,1827413
9,"Real estate, ownership of dwelling & professional services",6451997
10,Public administration,2460364
11,Other services,4164287
Total,Tertiary,26015812
12,TOTAL GSVA at basic prices,58158386
13,Taxes on Products,5394503
14,Subsidies on products,2333442
15,Gross State Domestic Product,61219447
16,Population ('00),721610
17,Per Capita GSDP (Rs.),84837
