S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",137447
1.1,Crops,114976
1.2,Livestock,17338
1.3,Forestry and logging,4529
1.4,Fishing and aquaculture,604
2,Mining and quarrying,1329
Total,Primary,138776
3,Manufacturing,550697
4,"Electricity, gas, water supply & other utility services",212499
5,Construction,82058
Total,Secondary,845253
6,"Trade, repair, hotels and restaurants",70568
6.1,Trade & repair services,64624
6.2,Hotels & restaurants,5945
7,"Transport, storage, communication & services related to broadcasting",47347
7.1,Railways,0
7.2,Road transport,35283
7.3,Water transport,0
7.4,Air transport,0
7.5,Services incidental to transport,0
7.6,Storage,0
7.7,Communication & services related to broadcasting,12064
8,Financial services,21079
9,"Real estate, ownership of dwelling & professional services",75330
10,Public administration,119514
11,Other services,149265
Total,Tertiary,483103
12,TOTAL GSVA at basic prices,1467133
13,Taxes on Products,72200
14,Subsidies on products,18400
15,Gross State Domestic Product,1520933
16,Population ('00),6330
17,Per Capita GSDP (Rs.),240274
