S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",13064238
1.1,Crops,7297820
1.2,Livestock,4693361
1.3,Forestry and logging,392705
1.4,Fishing and aquaculture,680352
2,Mining and quarrying,265536
Total,Primary,13329774
3,Manufacturing,18914794
4,"Electricity, gas, water supply & other utility services",1710379
5,Construction,12216718
Total,Secondary,32841892
6,"Trade, repair, hotels and restaurants",12895842
6.1,Trade & repair services,11252588
6.2,Hotels & restaurants,1643253
7,"Transport, storage, communication & services related to broadcasting",7188320
7.1,Railways,468553
7.2,Road transport,3660994
7.3,Water transport,70414
7.4,Air transport,180836
7.5,Services incidental to transport*,864407
7.6,Storage,39834
7.7,Communication & services related to broadcasting,1903283
8,Financial services,5598498
9,"Real estate, ownership of dwelling & professional services",16830213
10,Public administration,3400800
11,Other services,7430115
Total,Tertiary,53343788
12,TOTAL GSVA at basic prices,99515453
13,Taxes on Products,12507325
14,Subsidies on products,2766405
15,Gross State Domestic Product,109256373
16,Population ('00),745760
17,Per Capita GSDP (Rs.),146503
