S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",7591501
1.1,Crops,4162493
1.2,Livestock,2951299
1.3,Forestry and logging,210741
1.4,Fishing and aquaculture,266968
2,Mining and quarrying,1541853
Total,Primary,9133354
3,Manufacturing,6353711
4,"Electricity, gas, water supply & other utility services",716266
5,Construction,2854024
Total,Secondary,9924001
6,"Trade, repair, hotels and restaurants",6494607
6.1,Trade & repair services,5724128
6.2,Hotels & restaurants,770479
7,"Transport, storage, communication & services related to broadcasting",3604741
7.1,Railways,199686
7.2,Road transport,2055658
7.3,Water transport,0
7.4,Air transport,120691
7.5,Services incidental to transport,454909
7.6,Storage,19805
7.7,Communication & services related to broadcasting,753992
8,Financial services,3023729
9,"Real estate, ownership of dwelling & professional services",9478839
10,Public administration,1711265
11,Other services,4158229
Total,Tertiary,28471410
12,TOTAL GSVA at basic prices,47528765
13,Taxes on Products,4425700
14,Subsidies on products,836700
15,Gross State Domestic Product,51117765
16,Population ('00),367660
17,Per Capita GSDP (Rs.),139035
