S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",799825
1.1,Crops,397591
1.2,Livestock,88176
1.3,Forestry and logging,145096
1.4,Fishing and aquaculture,168961
2,Mining and quarrying,142391
Total,Primary,942216
3,Manufacturing,228625
4,"Electricity, gas, water supply & other utility services",77870
5,Construction,177899
Total,Secondary,484393
6,"Trade, repair, hotels and restaurants",390423
6.1,Trade & repair services,390423
6.2,Hotels & restaurants,NA
7,"Transport, storage, communication & services related to broadcasting",155956
7.1,Railways,305
7.2,Road transport,NA
7.3,Water transport,NA
7.4,Air transport,NA
7.5,Services incidental to transport*,88721
7.6,Storage,254
7.7,Communication & services related to broadcasting,66676
8,Financial services,86094
9,"Real estate, ownership of dwelling & professional services",190704
10,Public administration,338244
11,Other services,323287
Total,Tertiary,1484709
12,TOTAL GSVA at basic prices,2911319
13,Taxes on Products,149345
14,Subsidies on products,94002
15,Gross State Domestic Product,2966662
16,Population ('00),38350
17,Per Capita GSDP (Rs.),77358
