S.No.,Item,2014-15
1,"Agriculture, forestry and fishing",1601423
1.1,Crops,866146
1.2,Livestock,391188
1.3,Forestry and logging,339293
1.4,Fishing and aquaculture,4796
2,Mining and quarrying,244549
Total,Primary,1845972
3,Manufacturing,5866252
4,"Electricity, gas, water supply & other utility services",433880
5,Construction,1342733
Total,Secondary,7642865
6,"Trade, repair, hotels and restaurants",1743106
6.1,Trade & repair services,1534073
6.2,Hotels & restaurants,209033
7,"Transport, storage, communication & services related to broadcasting",1066693
7.1,Railways,21295
7.2,Road transport*,307147
7.3,Water transport,NA
7.4,Air transport,3889
7.5,Services incidental to transport,-76
7.6,Storage,660
7.7,Communication & services related to broadcasting,733778
8,Financial services,385030
9,"Real estate, ownership of dwelling & professional services",831307
10,Public administration,579409
11,Other services,982430
Total,Tertiary,5587975
12,TOTAL GSVA at basic prices,15076812
13,Taxes on Products,1434856
14,Subsidies on products,313139
15,Gross State Domestic Product,16198529
16,Population ('00),105820
17,Per Capita GSDP (Rs.),153076
