Sl. No.,Level of Education - State,Primary - 2014-2015,Upper Primary - 2014-2015,Secondary - 2014-2015
1,A & N Islands,1.21,1.69,9.87
2,Andhra Pradesh,4.35,5.2,15.71
3,Arunachal Pradesh,10.89,6.71,17.11
4,Assam,7.44,10.51,27.06
5,Bihar,2.09,4.08,25.9
6,Chandigarh,NA,0.44,NA
7,Chhatisgarh,1.42,5.85,21.26
8,Dadra & Nagar Haveli,1.57,4.02,16.77
9,Daman & Diu,0.85,3.11,32.27
10,Delhi,NA,0.76,11.81
11,Goa,0.2,0.07,11.15
12,Gujarat,0.76,6.41,25.04
13,Haryana,0.41,5.81,15.89
14,Himachal Pradesh,0.46,0.87,6.07
15,Jammu and Kashmir,5.46,5.44,17.28
16,Jharkhand,6.41,8.99,24
17,Karnataka,2.32,3.85,26.18
18,Kerala,NA,NA,12.32
19,Lakshadweep,NA,2.78,6.763
20,Madhya Pradesh,10.14,9.2,24.77
21,Maharashtra,0.55,1.79,12.87
22,Manipur,18,4.2,14.38
23,Meghalaya,10.34,6.52,20.52
24,Mizoram,12.96,4.78,21.88
25,Nagaland,19.41,7.92,18.23
26,Odisha,2.94,3.81,29.56
27,Puducherry,0.66,0.56,12.19
28,Punjab,1.29,3.22,8.86
29,Rajasthan,8.39,3.07,13.48
30,Sikkim,4.57,1.57,15.89
31,Tamil Nadu,0.46,NA,8.1
32,Telangana,5.81,2.3,15.53
33,Tripura,3.58,1.99,28.42
34,Uttar Pradesh,7.08,2.7,10.22
35,Uttrakhand,3.07,1.19,10.4
36,West Bengal,2.91,4.3,17.8
All India,All India,4.34,4.03,17.06
